Order Date,Region,Category,Sales,Profit
2023-01-05,Downtown,Fast Food,15000,3000
2023-01-10,Suburbs,Fine Dining,25000,7500
2023-01-15,Mall,Cafe,8000,2000
2023-01-20,Airport,Fast Food,18000,3600
2023-01-25,Downtown,Fine Dining,30000,9000
2023-02-03,Suburbs,Cafe,9500,2375
2023-02-08,Mall,Fast Food,16000,3200
2023-02-14,Airport,Fine Dining,28000,8400
2023-02-19,Downtown,Cafe,10000,2500
2023-02-24,Suburbs,Fast Food,17000,3400
2023-03-02,Mall,Fine Dining,32000,9600
2023-03-07,Airport,Cafe,11000,2750
2023-03-12,Downtown,Fast Food,19000,3800
2023-03-17,Suburbs,Fine Dining,35000,10500
2023-03-22,Mall,Cafe,12000,3000
2023-04-01,Airport,Fast Food,20000,4000
2023-04-06,Downtown,Fine Dining,38000,11400
2023-04-11,Suburbs,Cafe,13000,3250
2023-04-16,Mall,Fast Food,21000,4200
2023-04-21,Airport,Fine Dining,40000,12000
2023-05-01,Downtown,Cafe,14000,3500
2023-05-06,Suburbs,Fast Food,22000,4400
2023-05-11,Mall,Fine Dining,42000,12600
2023-05-16,Airport,Cafe,15000,3750
2023-05-21,Downtown,Fast Food,23000,4600
2023-06-01,Suburbs,Fine Dining,45000,13500
2023-06-06,Mall,Cafe,16000,4000
2023-06-11,Airport,Fast Food,24000,4800
2023-06-16,Downtown,Fine Dining,48000,14400
2023-06-21,Suburbs,Cafe,17000,4250
2023-07-01,Mall,Fast Food,25000,5000
2023-07-06,Airport,Fine Dining,50000,15000
2023-07-11,Downtown,Cafe,18000,4500
2023-07-16,Suburbs,Fast Food,26000,5200
2023-07-21,Mall,Fine Dining,52000,15600
2023-08-01,Airport,Cafe,19000,4750
2023-08-06,Downtown,Fast Food,27000,5400
2023-08-11,Suburbs,Fine Dining,55000,16500
2023-08-16,Mall,Cafe,20000,5000
2023-08-21,Airport,Fast Food,28000,5600
2023-09-01,Downtown,Fine Dining,58000,17400
2023-09-06,Suburbs,Cafe,21000,5250
2023-09-11,Mall,Fast Food,29000,5800
2023-09-16,Airport,Fine Dining,60000,18000
2023-09-21,Downtown,Cafe,22000,5500
2023-10-01,Suburbs,Fast Food,30000,6000
2023-10-06,Mall,Fine Dining,62000,18600
2023-10-11,Airport,Cafe,23000,5750
2023-10-16,Downtown,Fast Food,31000,6200
2023-10-21,Suburbs,Fine Dining,65000,19500
2023-11-01,Mall,Cafe,24000,6000
2023-11-06,Airport,Fast Food,32000,6400
2023-11-11,Downtown,Fine Dining,68000,20400
2023-11-16,Suburbs,Cafe,25000,6250
2023-11-21,Mall,Fast Food,33000,6600
2023-12-01,Airport,Fine Dining,70000,21000
2023-12-06,Downtown,Cafe,26000,6500
2023-12-11,Suburbs,Fast Food,34000,6800
2023-12-16,Mall,Fine Dining,75000,22500
2023-12-21,Airport,Cafe,27000,6750
