Order Date,Region,Category,Sales,Profit
2023-01-05,North,Electronics,25000,5000
2023-01-10,South,Clothing,8000,1200
2023-01-15,East,Electronics,32000,6400
2023-01-20,West,Food,4500,900
2023-01-25,North,Clothing,12000,1800
2023-02-03,South,Electronics,28000,5600
2023-02-08,East,Food,3800,760
2023-02-14,West,Clothing,9500,1425
2023-02-19,North,Electronics,35000,7000
2023-02-24,South,Food,5200,1040
2023-03-02,East,Electronics,29000,5800
2023-03-07,West,Clothing,11000,1650
2023-03-12,North,Food,4200,840
2023-03-17,South,Electronics,38000,7600
2023-03-22,East,Clothing,13000,1950
2023-04-01,West,Electronics,27000,5400
2023-04-06,North,Food,4800,960
2023-04-11,South,Clothing,10500,1575
2023-04-16,East,Electronics,33000,6600
2023-04-21,West,Food,5500,1100
2023-05-01,North,Electronics,40000,8000
2023-05-06,South,Clothing,14000,2100
2023-05-11,East,Food,6000,1200
2023-05-16,West,Electronics,36000,7200
2023-05-21,North,Clothing,15000,2250
2023-06-01,South,Electronics,42000,8400
2023-06-06,East,Clothing,16000,2400
2023-06-11,West,Food,6500,1300
2023-06-16,North,Electronics,45000,9000
2023-06-21,South,Food,7000,1400
2023-07-01,East,Electronics,38000,7600
2023-07-06,West,Clothing,17000,2550
2023-07-11,North,Food,7500,1500
2023-07-16,South,Electronics,48000,9600
2023-07-21,East,Clothing,18000,2700
2023-08-01,West,Electronics,41000,8200
2023-08-06,North,Food,8000,1600
2023-08-11,South,Clothing,19000,2850
2023-08-16,East,Electronics,44000,8800
2023-08-21,West,Food,8500,1700
2023-09-01,North,Electronics,50000,10000
2023-09-06,South,Clothing,20000,3000
2023-09-11,East,Food,9000,1800
2023-09-16,West,Electronics,47000,9400
2023-09-21,North,Clothing,21000,3150
2023-10-01,South,Electronics,52000,10400
2023-10-06,East,Clothing,22000,3300
2023-10-11,West,Food,9500,1900
2023-10-16,North,Electronics,55000,11000
2023-10-21,South,Food,10000,2000
2023-11-01,East,Electronics,58000,11600
2023-11-06,West,Clothing,23000,3450
2023-11-11,North,Food,10500,2100
2023-11-16,South,Electronics,60000,12000
2023-11-21,East,Clothing,24000,3600
2023-12-01,West,Electronics,65000,13000
2023-12-06,North,Food,11000,2200
2023-12-11,South,Clothing,25000,3750
2023-12-16,East,Electronics,70000,14000
2023-12-21,West,Food,12000,2400
