Order Date,Region,Category,Sales,Profit
1/5/2023,North,Medicines,45000,9000
1/10/2023,South,Cosmetics,12000,3600
1/15/2023,East,Medicines,52000,10400
1/20/2023,West,Supplements,18000,5400
1/25/2023,North,Cosmetics,14000,4200
2/3/2023,South,Medicines,48000,9600
2/8/2023,East,Supplements,20000,6000
2/14/2023,West,Cosmetics,15000,4500
2/19/2023,North,Medicines,55000,11000
2/24/2023,South,Supplements,22000,6600
3/2/2023,East,Medicines,50000,10000
3/7/2023,West,Cosmetics,16000,4800
3/12/2023,North,Supplements,24000,7200
3/17/2023,South,Medicines,58000,11600
3/22/2023,East,Cosmetics,17000,5100
4/1/2023,West,Medicines,53000,10600
4/6/2023,North,Supplements,26000,7800
4/11/2023,South,Cosmetics,18000,5400
4/16/2023,East,Medicines,60000,12000
4/21/2023,West,Supplements,28000,8400
5/1/2023,North,Medicines,65000,13000
5/6/2023,South,Cosmetics,19000,5700
5/11/2023,East,Supplements,30000,9000
5/16/2023,West,Medicines,62000,12400
5/21/2023,North,Cosmetics,20000,6000
6/1/2023,South,Medicines,68000,13600
6/6/2023,East,Cosmetics,21000,6300
6/11/2023,West,Supplements,32000,9600
6/16/2023,North,Medicines,70000,14000
6/21/2023,South,Cosmetics,22000,6600
7/1/2023,East,Medicines,72000,14400
7/6/2023,West,Cosmetics,23000,6900
7/11/2023,North,Supplements,34000,10200
7/16/2023,South,Medicines,75000,15000
7/21/2023,East,Cosmetics,24000,7200
8/1/2023,West,Medicines,78000,15600
8/6/2023,North,Supplements,36000,10800
8/11/2023,South,Cosmetics,25000,7500
8/16/2023,East,Medicines,80000,16000
8/21/2023,West,Supplements,38000,11400
9/1/2023,North,Medicines,85000,17000
9/6/2023,South,Cosmetics,26000,7800
9/11/2023,East,Supplements,40000,12000
9/16/2023,West,Medicines,82000,16400
9/21/2023,North,Cosmetics,27000,8100
10/1/2023,South,Medicines,88000,17600
10/6/2023,East,Cosmetics,28000,8400
10/11/2023,West,Supplements,42000,12600
10/16/2023,North,Medicines,90000,18000
10/21/2023,South,Supplements,44000,13200
11/1/2023,East,Medicines,92000,18400
11/6/2023,West,Cosmetics,29000,8700
11/11/2023,North,Supplements,46000,13800
11/16/2023,South,Medicines,95000,19000
11/21/2023,East,Cosmetics,30000,9000
12/1/2023,West,Medicines,98000,19600
12/6/2023,North,Supplements,48000,14400
12/11/2023,South,Cosmetics,31000,9300
12/16/2023,East,Medicines,100000,20000
12/21/2023,West,Cosmetics,32000,9600
